scenario,phi,lo,hi,n,reefs
conservative,0.189166881357121,0.122744172431662,0.255589590282581,1063,75
tracking,0.198218897328242,0.124338900233252,0.272098894423232,1063,75
extreme,0.196173515009255,0.128969187598687,0.263377842419824,1063,75
