model,term,estimate,se,t,p
mean body size,Year,0.000801541479227105,0.000962832216964243,0.832483027784759,0.408672612728906
mean body size,ws_anom,-0.0415546726011696,0.0132229788805079,-3.14261052495711,0.00267639065536358
