C_centred,C_warm,phi,lo,hi
-0.875964465731488,-0.655016307608705,0.195642858428302,0.0998562969119644,0.291429419944639
-0.846204210815619,-0.625256052692836,0.195676775792221,0.103034849216179,0.288318702368262
-0.816443955899751,-0.595495797776967,0.19571069315614,0.106159842611402,0.285261543700878
-0.786683700983882,-0.565735542861099,0.195744610520059,0.109225536392909,0.282263684647209
-0.756923446068013,-0.53597528794523,0.195778527883978,0.112225475137114,0.279331580630842
-0.727163191152145,-0.506215033029361,0.195812445247897,0.115152404708675,0.276472485787119
-0.697402936236276,-0.476454778113493,0.195846362611816,0.117998185130096,0.273694540093537
-0.667642681320408,-0.446694523197624,0.195880279975735,0.120753704014696,0.271006855936775
-0.637882426404539,-0.416934268281755,0.195914197339655,0.123408796333923,0.268419598345386
-0.60812217148867,-0.387174013365887,0.195948114703574,0.125952178997693,0.265944050409455
-0.578361916572802,-0.357413758450018,0.195982032067493,0.12837141206849,0.263592652066495
-0.548601661656933,-0.327653503534149,0.196015949431412,0.130652902234047,0.261378996628777
-0.518841406741064,-0.297893248618281,0.196049866795331,0.132781967966871,0.259317765623791
-0.489081151825196,-0.268132993702412,0.19608378415925,0.134742988709734,0.257424579608766
-0.459320896909327,-0.238372738786544,0.196117701523169,0.136519661022175,0.255715742024163
-0.429560641993458,-0.208612483870675,0.196151618887088,0.138095380999116,0.25420785677506
-0.39980038707759,-0.178852228954806,0.196185536251007,0.139453762395264,0.252917310106751
-0.370040132161721,-0.149091974038938,0.196219453614926,0.140579282399325,0.251859624830527
-0.340279877245853,-0.119331719123069,0.196253370978845,0.141458022435822,0.251048719521868
-0.310519622329984,-0.0895714642072004,0.196287288342765,0.142078443382102,0.250496133303427
-0.280759367414115,-0.0598112092913318,0.196321205706684,0.142432110307385,0.250210301105982
-0.250999112498247,-0.0300509543754631,0.196355123070603,0.142514270412904,0.250195975728302
-0.221238857582378,-0.000290699459594479,0.196389040434522,0.142324196886896,0.250453883982147
-0.191478602666509,0.0294695554562742,0.196422957798441,0.141865242654585,0.250980672942297
-0.161718347750641,0.0592298103721428,0.19645687516236,0.141144595001668,0.251769155323052
-0.131958092834772,0.0889900652880115,0.196490792526279,0.140172771676827,0.252808813375732
-0.102197837918903,0.11875032020388,0.196524709890198,0.138962937078795,0.254086482701602
-0.0724375830030348,0.148510575119749,0.196558627254117,0.137530134244794,0.255587120263441
-0.0426773280871662,0.178270830035617,0.196592544618036,0.135890523517586,0.257294565718487
-0.0129170731712975,0.208031084951486,0.196626461981955,0.134060697978187,0.259192225985724
0.0168431817445711,0.237791339867355,0.196660379345875,0.132057118081147,0.261263640610602
0.0466034366604398,0.267551594783223,0.196694296709794,0.129895681546978,0.263492911872609
0.0763636915763084,0.297311849699092,0.196728214073713,0.127591424371927,0.265865003775498
0.106123946492177,0.327072104614961,0.196762131437632,0.12515833632986,0.268365926545404
0.135884201408046,0.356832359530829,0.196796048801551,0.122609268723357,0.270982828879745
0.165644456323914,0.386592614446698,0.19682996616547,0.119955911479427,0.273704020851513
0.195404711239783,0.416352869362566,0.196863883529389,0.1172088189676,0.276518948091179
0.225164966155652,0.446113124278435,0.196897800893308,0.1143774675337,0.279418134252916
0.25492522107152,0.475873379194304,0.196931718257227,0.111470331618661,0.282393104895794
0.284685475987389,0.505633634110172,0.196965635621146,0.108494968869052,0.285436302373241
0.314445730903257,0.535393889026041,0.196999552985066,0.105458107585174,0.288540998384958
0.344205985819126,0.56515414394191,0.197033470348985,0.102365732142083,0.291701208555887
0.373966240734995,0.594914398857778,0.197067387712904,0.0992231637163518,0.294911611709456
0.403726495650863,0.624674653773647,0.197101305076823,0.0960351348578415,0.298167475295804
0.433486750566732,0.654434908689516,0.197135222440742,0.0928058572699303,0.301464587611553
0.463247005482601,0.684195163605384,0.197169139804661,0.0895390827010581,0.304799196908264
0.493007260398469,0.713955418521253,0.19720305716858,0.0862381571854194,0.308167957151741
0.522767515314338,0.743715673437121,0.197236974532499,0.0829060690633799,0.311567880001619
0.552527770230207,0.77347592835299,0.197270891896418,0.0795454913089822,0.314996292483855
0.582288025146075,0.803236183268859,0.197304809260337,0.076158818726091,0.318450799794584
0.612048280061944,0.832996438184727,0.197338726624256,0.0727482005697329,0.32192925267878
0.641808534977813,0.862756693100596,0.197372643988176,0.0693155691210294,0.325429718855322
0.671568789893681,0.892516948016465,0.197406561352095,0.0658626647035437,0.328950458000646
0.70132904480955,0.922277202932333,0.197440478716014,0.062391057582833,0.332489899849195
0.731089299725418,0.952037457848202,0.197474396079933,0.05890216714391,0.336046625015956
0.760849554641287,0.98179771276407,0.197508313443852,0.0553972786958223,0.339619348191882
0.790609809557156,1.01155796767994,0.197542230807771,0.0518775582101174,0.343206903405425
0.820370064473024,1.04131822259581,0.19757614817169,0.0483440652612941,0.346808231082086
0.850130319388893,1.07107847751168,0.197610065535609,0.0447977644026939,0.350422366668525
0.879890574304761,1.10083873242754,0.197643982899528,0.0412395351805901,0.354048430618467
