C_centred,C_warm,phi,lo,hi
-0.875964465731489,-0.655016307608705,0.348017525071186,0.086675170325923,0.523255487473899
-0.802803839063312,-0.581855680940528,0.331882718666602,0.128801085220982,0.47696294662874
-0.729643212395135,-0.508695054272351,0.315747932016438,0.135250776559383,0.456206058817076
-0.656482585726958,-0.435534427604174,0.299613168574701,0.165108984177449,0.433665186393111
-0.583321959058781,-0.362373800935997,0.283478431795378,0.160830636334033,0.403692290052586
-0.510161332390604,-0.289213174267821,0.267343725132515,0.157345125902609,0.375744567575359
-0.437000705722427,-0.216052547599644,0.251209052040053,0.137288206474205,0.360013898390086
-0.363840079054251,-0.142891920931467,0.235074416056999,0.111882334466087,0.341790828203174
-0.290679452386074,-0.0697312942632901,0.218939822996641,0.0787456289833549,0.319924834037425
-0.217518825717897,0.00342933240488685,0.202805281140707,0.0533808889014482,0.30725715356833
-0.14435819904972,0.0765899590730637,0.186670798894681,0.04962857454222,0.309796602392661
-0.071197572381543,0.149750585741241,0.170536382625292,0.0397912360382978,0.310342625603287
0.0019630542866339,0.222911212409417,0.154402020124155,0.0350566081315341,0.310192270313692
0.0751236809548107,0.296071839077594,0.138267689255173,0.0424895729985753,0.329923697586279
0.148284307622988,0.369232465745771,0.122133367788776,0.037163381232674,0.339321226255641
0.221444934291165,0.442393092413948,0.105999033495258,0.0291883205944087,0.36065151052511
0.294605560959341,0.515553719082125,0.0898646642216718,0.0280748993827144,0.356124133235966
0.367766187627518,0.588714345750302,0.0737302464480996,0.013214706905469,0.337910433187149
0.440926814295695,0.661874972418479,0.0575957830893783,-0.00951733116212183,0.289741397718413
0.514087440963872,0.735035599086656,0.0414612789032001,-0.0586924724924439,0.259603151007729
0.587248067632049,0.808196225754832,0.0253267386471547,-0.162729776085732,0.230050203452858
0.660408694300226,0.881356852423009,0.00919216707891657,-0.320718148211836,0.199454200262996
0.733569320968403,0.954517479091186,-0.00694243104390679,-0.484443155259614,0.180681354304311
0.806729947636579,1.02767810575936,-0.02307705096369,-0.660831896913631,0.16069363490181
0.879890574304756,1.10083873242754,-0.0392116879227631,-0.864251666760266,0.156030423631982
