regime,response,pct_per_decade,lo,hi,p,n_reefs,n_transects
Fishing only,Biomass (the savings),-39.2403370057002,-45.8999227288309,-31.7609727491411,3.64724232903324e-08,22,1950
Fishing only,Production (the buffer),-28.744618924664,-36.5466487900746,-19.9832753451618,1.09895749309047e-05,22,1950
Climate only,Biomass (the savings),69.6893123777308,-22.8440673439679,273.198297836607,0.279977795248442,4,165
Climate only,Production (the buffer),91.409473957888,1.09119278804541,262.421153716647,0.140231283357108,4,165
Both,Biomass (the savings),-2.16189800332206,-26.8494223190378,30.857397245184,0.884289619907467,22,1159
Both,Production (the buffer),15.7746849160952,-8.75837460215667,46.9041965109266,0.241385281214601,22,1159
Neither (reference),Biomass (the savings),-23.5230311671562,-82.5090557764974,234.385993524629,0.74520863565536,4,88
Neither (reference),Production (the buffer),-5.72641297411401,-78.6424246778942,316.129128737213,0.942854794664516,4,88
