group,pct_per_decade,p_reefclust,paired_pct,n_reefs
Sea stars (temperate),-79.52949001735,1.14428608633034e-20,-68.1807662378368,110
Sea urchins,-45.6238166017174,4.66733695206067e-05,-45.3746533332462,141
Gorgonians (temperate),-46.7040942270725,1.98125814095315e-06,-48.8045359457286,131
Hard corals (tropical),239.749203726937,2.33667546484471e-14,27.0200690515885,142
