group,response,pct_per_decade,p_reefclust,paired_pct,paired_lo,paired_hi,paired_p,n_reefs
Whole community,biomass,-23.3999447539628,9.93213064958644e-08,-16.6005365233327,-28.090025068621,-3.27530339381548,0.0183991152344343,26
Whole community,production,-11.6689485401098,0.00255003641350896,-2.53842691329848,-14.246069437893,10.7676134058371,0.682558696381199,26
Whole community,turnover,13.382570364786,3.73094094454537e-08,9.40393867756679,3.9558236404472,15.1375784348824,0.00129288139042507,26
Commercial species,biomass,-29.0743936997884,5.36227009790549e-08,-16.2066188931627,-31.1202027792325,1.9359957581107,0.0749782975748211,26
Commercial species,production,-11.7564147526173,0.00395443310015133,5.42500700598225,-9.21166595545981,22.4213685511482,0.473412683882681,26
Commercial species,turnover,16.627694680466,3.73882864202138e-10,15.9224059216829,10.465629226443,21.6487362519333,1.32400040113736e-06,26
Non-commercial species,biomass,-27.2022825713382,5.27845559330886e-08,-21.6297220838513,-34.7783229230711,-5.83038131003567,0.0113491815969354,26
Non-commercial species,production,-16.3892023201927,0.000136472289210826,-11.3704440047779,-27.0895942752455,7.73768322678829,0.214615992887582,26
Non-commercial species,turnover,12.9046365637255,1.51041016723577e-06,11.3314201906512,4.39232445847886,18.7317667842257,0.00207630701524987,26
