group,n_obs,n_reefs,beta_year,p_year,beta_anom,p_anom
Holaxonia (gorgonians),3134,26,-0.0524169830446143,1.49710198326242e-10,-0.298504137397341,0.0116149242258369
Scleractinia (hard corals),3134,26,0.170769955117379,2.90790859106468e-71,-0.512567354425374,0.000151537889400569
Asteroidea (sea stars),3134,26,-0.125188703133446,7.08766071967806e-72,-0.57868378260235,4.85019842924448e-09
Echinoidea (sea urchins),3134,26,-0.0327475842120879,0.000625665326659211,-0.807458722954901,6.33783598981517e-09
