Year,conservative,extreme,tracking,anom,gap_tracking,gap_extreme
1998,0.276768670374263,0.155619592618945,0.391937079701798,0.674948430323876,12.2062387433152,-11.4098118515758
1999,-0.12059807223285,-0.187257893963231,-0.17501943339505,-0.534780758295723,-5.29670204974901,-6.44866114607594
2000,0.0918561023052957,0.211659003517135,0.0547030248242546,-0.288263362797116,-3.64713704760871,12.7274645215296
2001,0.283468697411642,0.188515919781119,0.176050656394938,-0.712611106030181,-10.1849869094099,-9.05841217731197
2002,0.308800782753459,0.233732181086225,0.270569816929966,-0.507273908980655,-3.75093872198949,-7.23201562383565
2003,0.147883554750258,0.0754643017685255,0.0540951931481958,-0.224372960613953,-8.95245665861717,-6.98591502717521
2004,0.202590779835727,0.223187426380302,0.129996796600394,-0.113804556576015,-7.00216598202289,2.08102212564314
2005,0.0369574960575438,0.10079338062821,-0.0529880536051707,-0.181702781478021,-8.6019049512624,6.59174509059866
2006,0.137586592232318,0.221882083028541,0.0716155711937527,0.216210811778039,-6.38420072150908,8.79503256243856
2007,0.236003124004735,0.128244773354551,0.188467986760139,-0.638141137642404,-4.64230335231485,-10.2155466234184
2008,0.264255452999137,0.234344387175982,0.197646691939465,-0.574166053003086,-6.44388423001305,-2.94681568389122
2009,0.276644022176942,0.353702563083484,0.274652212451309,0.179481623158439,-0.198982738900588,8.01053048855636
2010,0.0752933797843005,0.00962345967182593,0.117695608270677,-0.0985647414358708,4.33140449934928,-6.35600867353675
2011,-0.517753501171662,-0.539512792729056,-0.59363055134319,-0.143815531741456,-7.30698345415264,-2.15242659231523
2012,-0.452686771885163,-0.384905726561952,-0.523233817422178,-0.15570976885008,-6.81161024838718,7.01309726440103
2013,-0.381017447581216,-0.364763770974393,-0.425638115516811,-0.244822907926914,-4.36398088792686,1.63864861807341
2014,-0.68922841983004,-0.729422657652184,-0.751584078075384,0.963102276477722,-6.04513308700995,-3.93971643725589
2015,-0.234507642482076,-0.147135666944324,-0.0593872037403176,1.36137098037656,19.1389697447963,9.1302542078102
2016,0.198501215185503,0.187231286910061,0.385613066127621,1.09441108024618,20.5762143139462,-1.12066605311351
2017,-0.243321662682848,-0.188517750083959,-0.1704324157422,0.546850432431358,7.56114030640436,5.63334606830024
2018,0.262364705590011,0.338416093695624,0.259601607277416,0.299640738016184,-0.275928446993556,7.90180214246503
2019,0.180753858673486,0.178570542474001,0.221635467561661,0.259535363938207,4.17287668175947,-0.218093449832246
2021,0.255421525332783,0.200303970952204,0.365137113188499,0.728150748553592,11.5960632562971,-5.36261089823129
2022,0.22360856099001,0.236119911738426,0.256929649740664,0.233376249080463,3.38824539768812,1.25899451291198
2023,-0.362024911237382,-0.337777594314737,-0.310118545930065,0.371185521999324,5.3277114617003,2.45436735482165
2024,0.333354724007915,0.55019080241069,0.348864419830882,0.706821757001118,1.56305953850235,24.2140471798399
2025,-0.333708796824167,-0.385457522211603,-0.320262286592582,0.65747635445454,1.35373211236498,-5.0432560941584
