reef_group,beta_year,p_year,pct_per_decade,paired_pct,n_reefs,trend_class
Wrasses,-0.0266197925637906,4.11907595596293e-08,-23.3712555440741,-53.2922211371641,22,decline_sig
Parrotfishes,-0.025676620298331,5.5419102463567e-08,-22.6450953915165,-46.9593498724074,21,decline_sig
Snappers,-0.0218901192918693,0.000948222826412968,-19.6598904050572,-8.11918560858891,22,decline_sig
Leopard grouper,-0.0165303322163592,6.91855048128841e-06,-15.23634418639,-32.6874353149797,22,decline_sig
Cabrillas,-0.00637447081130621,0.0342319478854509,-6.17555048336375,-30.1181246474312,22,decline_sig
Triggerfishes,-0.00345951596178769,0.398097857866467,-3.40035885367517,-29.6209675533493,22,no_sig_trend
Chubs,-0.00112816648114758,0.632820077302527,-1.12182654716928,6.21638072393365,22,no_sig_trend
Porgies,0.000485616587007044,0.321248161835461,0.48679761533752,-23.6285092190109,10,no_sig_trend
Groupers,0.000912251418804897,0.609988905695151,0.916425113937391,-15.9126729300778,22,no_sig_trend
Grunts,0.0104956806666403,0.0137654260460419,11.0662636097874,-34.6096950600747,21,increase_sig
