Year,mean,sem,count,ci95
1998,74.3478260869565,10.9219991353402,46,21.4071183052667
1999,93.3333333333333,17.2015615514047,24,33.7150606407532
2000,29.0104166666667,2.24970816099702,128,4.40942799555416
2001,44.5299145299145,3.72808933119071,117,7.30705508913378
2002,44.1049382716049,3.26443343858294,108,6.39828953962256
2003,75.6989247311828,8.76934486690631,93,17.1879159391364
2004,37.4143302180685,3.6920667950906,107,7.23645091837757
2005,35.3213470319635,3.18642031313923,146,6.2453838137529
2006,19.265302359882,1.99904344646113,226,3.91812515506381
2007,61.5277777777778,5.13040281487202,120,10.0555895171492
2008,51.9444444444445,5.6926790873615,96,11.1576510112285
2009,31.1927503585284,1.56167452886738,603,3.06088207658006
2010,20.083986469679,1.33692598509557,525,2.62037493078732
2011,24.6052035637078,1.679692819042,354,3.29219792532232
2012,20.2219068764535,2.03677728118219,195,3.9920834711171
2013,16.9281463538169,0.846561805302273,612,1.65926113839246
2014,21.0793884745357,1.80511029619064,366,3.53801618053366
2015,8.21404683086875,0.801223450107668,389,1.57039796221103
2016,7.90631310037439,0.618461606255476,655,1.21218474826073
2017,5.48867132600473,0.500692708899343,553,0.981357709442712
2018,7.221269296741,0.652382366411808,583,1.27866943816714
2019,11.8146000572687,0.78280945294396,484,1.53430652777016
2021,1.78807947019868,0.33992717977784,151,0.666257272364565
2022,5.31446540880504,0.862533969946543,212,1.69056658109522
2023,7.4685631274341,0.571166870757232,620,1.11948706668418
2024,1.19047619047619,0.453108539054927,112,0.888092736547657
2025,15.2382524485529,1.91343279655751,233,3.75032828125272
