spec,cluster,b1,b2,se_b2,t,p,lo,hi,phi_at_mean,dphi_dC,n,reefs,years
Whole community,twoway,0.80864553034054,-0.0289347653486491,0.0660453441825897,-0.438104543276446,0.661310501120654,-0.158383639946525,0.100514109249227,0.19135446965946,0.0289347653486491,1063,75,27
Whole community,reef,0.80864553034054,-0.0289347653486491,0.0606117300257143,-0.477378971634263,0.63309228544083,-0.147733756199049,0.0898642255017509,0.19135446965946,0.0289347653486491,1063,75,27
Whole community,year,0.80864553034054,-0.0289347653486491,0.0678626329582933,-0.426372571875184,0.669836384260988,-0.161945525946904,0.104075995249606,0.19135446965946,0.0289347653486491,1063,75,27
Commercial species,twoway,0.802146345722676,-0.0512035826757197,0.0693005825449326,-0.73886222590583,0.459990661829538,-0.187032724463788,0.0846255591123483,0.197853654277324,0.0512035826757197,1063,75,27
Excluding Cabo Pulmo,twoway,0.79611035834228,-0.0213540078144232,0.078672095452736,-0.271430520460105,0.786059930873079,-0.175551314901786,0.132843299272939,0.20388964165772,0.0213540078144232,976,69,27
Excluding 3 hottest years,twoway,0.835501343151446,0.046544894404427,0.0376983352403474,1.23466710420176,0.216954423523204,-0.027343842666654,0.120433631475508,0.164498656848554,-0.046544894404427,905,75,24
Reefs with >= 8 years,twoway,0.802303072273996,-0.0178371198605951,0.0744969263109764,-0.239434306136829,0.810768831033087,-0.163851095430109,0.128176855708919,0.197696927726004,0.0178371198605951,946,57,27
Reefs with >= 10 years,twoway,0.788286632805492,-0.039936906509447,0.0865203096132402,-0.461589962957501,0.644375393685849,-0.209516713351398,0.129642900332504,0.211713367194508,0.039936906509447,852,46,27
Reefs with >= 15 years,twoway,0.743150965873514,-0.081746793593419,0.106840493188239,-0.765129317115674,0.444194543938717,-0.291154160242367,0.127660573055529,0.256849034126486,0.081746793593419,594,26,27
Annual anomaly instead of warm season,twoway,0.807114894473649,-0.00175131763308009,0.0666285746181076,-0.0262847831147229,0.97903019203433,-0.132343323884571,0.128840688618411,0.192885105526351,0.00175131763308009,1063,75,27
Heatwave days instead of anomaly,twoway,0.808673122956135,-0.00159879641654591,0.0368971606856065,-0.0433311503334616,0.96543756015917,-0.0739172313603347,0.0707196385272429,0.191326877043865,0.00159879641654591,1063,75,27
