stratum,mean_anom,phi,lo,hi,n,reefs
Q1 coolest,-0.461229292032448,0.218768482339021,0.144715505918326,0.292821458759715,272,62
Q2,0.0539702180912167,0.149838727137937,0.0639919041672819,0.235685550108592,264,71
Q3,0.399244930227653,0.169939871561333,0.0847595514948721,0.255120191627793,266,75
Q4 warmest,0.919061189657885,0.210448444763474,0.0119549109646789,0.40894197856227,261,69
