scenario,response,pct_per_decade,p_reefclust,paired_pct
conservative,production,-11.6977422177754,0.00261202132340327,-2.50803399851337
conservative,turnover,13.3481194407596,4.89121137728065e-08,9.38787997449615
tracking,production,-7.39603005912235,0.0426335574238725,5.42618405991415
tracking,turnover,18.866758497645,2.02335636751405e-10,20.0110231536636
extreme,production,-8.73701089484985,0.019380024430398,1.26383601423827
extreme,turnover,17.1662986784671,5.89454747113033e-12,13.7742431473277
