spec,exposure,cluster,b1,b2,se_b2,t,p,lo,hi,phi_at_mean,dphi_dC,n,reefs
"Warm season (May to Oct), as 03e",lB_c:Cw,twoway,0.80864553034054,-0.0289347653486489,0.0660453441825898,-0.438104543276442,0.661310501120657,-0.158383639946525,0.100514109249227,0.19135446965946,0.0289347653486489,1063,75
Winter (Dec to Mar),lB_c:Cn,twoway,0.809121239378741,0.0305079560706245,0.0220370625017559,1.38439304549749,0.166238137246196,-0.0126846864328171,0.0737005985740661,0.190878760621259,-0.0305079560706245,1063,75
"Winter, clustered on year only",lB_c:Cn,year,0.809121239378741,0.0305079560706245,0.0224815018157694,1.3570248251487,0.174773322658886,-0.0135557874882834,0.0745716996295325,0.190878760621259,-0.0305079560706245,1063,75
"Winter, clustered on reef only",lB_c:Cn,reef,0.809121239378741,0.0305079560706245,0.0168579442043121,1.80970797511721,0.0703410851254777,-0.00253361456982713,0.0635495267110761,0.190878760621259,-0.0305079560706245,1063,75
"Winter, Nov to Apr window",lB_c:Cn6,twoway,0.807701546151139,0.0368011316039432,0.0256082791214381,1.4370794472142,0.150695420425027,-0.0133910954740755,0.0869933586819619,0.192298453848861,-0.0368011316039432,1063,75
Both seasons jointly: warm season term,lB_c:Cw,twoway,0.809338211943723,-0.0363986596967496,0.066311522149369,-0.548903999138496,0.583071333565417,-0.166369243109513,0.0935719237160136,0.190661788056277,0.0363986596967496,1063,75
Both seasons jointly: winter term,lB_c:Cn,twoway,0.809338211943723,0.0361668190204808,0.0250978058175524,1.44103509619105,0.149574767921725,-0.0130248803819219,0.0853585184228835,0.190661788056277,-0.0361668190204808,1063,75
