check,term,est,se,p,note
levels,lB,0.202918955045417,0.14900154156513,0.173242674219672,+22.5 % per C
levels,lP,0.290593014935697,0.108902138807587,0.0076216487768244,+33.7 % per C
true,lB_c:C,-0.0289347653486493,0.0660453441825898,0.661310501120652,""
placebo,lB_c:C,0.00888472588276304,0.0301308327342751,0.76809199246857,true |b| exceeds 64 % of placebos
gradient,rlat,2.39011253933291e-17,1.29278404962385e-17,0.0644852014260877,""
gradient,dmid,-6.26733070985261e-18,3.62156619099415e-18,0.0835306101149804,""
cold_years,production,-0.206827667472377,0.184991100491882,0.263549407951459,-18.7 % in coldest quartile
