model,term,estimate,se,t,p
warming x protection,ws_anom,-0.0491361684732505,0.0816258030419473,-0.601968576627657,0.549861999480148
warming x protection,"ws_anom:grp_protMPA, fishing allowed",-0.0471961567137114,0.106681602763474,-0.44240202144648,0.660068907872235
warming x protection,ws_anom:grp_protno-take (paper park),-0.161976352955041,0.115444268159517,-1.40306968494292,0.166655082554408
warming x protection,ws_anom:grp_protno-take (enforced),0.0199804412970149,0.112146897701234,0.178163120929515,0.859300686336719
