year,ws_anom
1981,-1.02911666666667
1982,-1.34175555555556
1983,-0.0150888888888895
1984,-0.477922222222223
1985,-0.865922222222223
1986,-0.960922222222222
1987,-0.313422222222223
1988,-1.11408888888889
1989,-0.685588888888889
1990,-0.00125555555555579
1991,-0.720922222222223
1992,0.273077777777778
1993,-0.433588888888889
1994,-0.431588888888889
1995,-0.534255555555556
1996,-0.565088888888888
1997,0.454411111111111
1998,0.363911111111111
1999,-0.439922222222223
2000,0.00574444444444448
2001,-0.351755555555555
2002,-0.159755555555555
2003,-0.296088888888889
2004,0.365911111111111
2005,-0.0517555555555559
2006,0.618577777777778
2007,-0.859255555555556
2008,-0.283088888888889
2009,0.120911111111111
2010,-0.734255555555556
2011,0.190577777777778
2012,0.0714111111111103
2013,-0.0462555555555563
2014,0.946077777777777
2015,1.22707777777778
2016,0.745411111111111
2017,0.258411111111111
2018,0.260411111111112
2019,-0.208422222222223
2020,0.214077777777777
2021,0.750744444444444
2022,-0.0284222222222231
2023,0.237744444444444
2024,0.388744444444444
2025,0.637577777777778
