Year,mean,median,sem,count,ci95
1998,0.920627235752509,0.619238358751877,0.0852240351605468,150,0.167039108914672
1999,0.644670734074457,0.485237720335428,0.046872979363067,147,0.0918710395516114
2000,1.05012614907308,0.793053727586748,0.119384103055444,131,0.233992841988671
2001,1.23589487910029,1.00932399531853,0.0892396869165686,128,0.174909786356474
2002,1.29840242463518,0.917099203581245,0.213186788994106,119,0.417846106428448
2003,0.864349059422636,0.649432241341983,0.0748528923032935,102,0.146711668914455
2004,1.10757738371446,0.785702224325326,0.120195669100942,122,0.235583511437846
2005,0.622183058239043,0.510559313713956,0.0494838861388799,101,0.0969884168322047
2006,0.969938448983229,0.746873779012906,0.0664223507871256,113,0.130187807542766
2007,0.844928037278949,0.563344505446515,0.0867205971273483,123,0.169972370369603
2008,0.918788969807087,0.813105326664799,0.0504604761667619,112,0.0989025332868534
2009,1.49114597375324,0.933963881404987,0.18933254677554,130,0.371091791680058
2010,1.02173075774494,0.735837932841409,0.0736018890521136,149,0.144259702542143
2011,0.369724781991379,0.265863913705509,0.0383432769119371,130,0.0751528227473968
2012,0.451396062570733,0.232586604141466,0.0824079807912873,136,0.161519642350923
2013,1.9631267063671,0.354194509750293,0.446040052980677,145,0.874238503842127
2014,1.11063472451508,0.241238785349002,0.586527764274596,142,1.14959441797821
2015,0.664652149128263,0.382988507315423,0.107762194510551,147,0.21121390124068
2016,0.938279048019325,0.609957718038175,0.0805686600455483,162,0.157914573689275
2017,0.619485613155912,0.394059262816586,0.0880394638324421,148,0.172557349111586
2018,0.930556196972595,0.610077430441139,0.0734057217764615,157,0.143875214681865
2019,0.930343859383529,0.513648853448436,0.105937229930293,149,0.207636970663374
2021,1.18665250570655,0.821070393153901,0.154943634690883,55,0.303689523994131
2022,0.965356661274545,0.697150808738951,0.0763815278669743,120,0.14970779461927
2023,0.621297524996191,0.310786343406267,0.080561275101717,130,0.157900099199365
2024,0.7783998249695,0.592120075095019,0.119345648696239,34,0.233917471444629
2025,0.842518108973574,0.579632618374395,0.0940337987720646,80,0.184306245593247
