Reef,Year,B,P,n_transects,Degree,Region,C_ann,C_warm,mhw_days,mhw_cum,lB,lP,lB_c,C,YearF
ALCATRAZ,2005,9633.87823816141,18.1556937248096,5,29,Alto Golfo,0.101283294563627,0.363652173913044,22,6.99610000000001,9.17304114834773,2.89898421536235,-0.424972508326606,0.108624417154076,2005
ALCATRAZ,2006,13722.0956962255,14.7905831587487,6,29,Alto Golfo,0.087803842508833,0.46316304347826,53,41.0698,9.52676263715346,2.69399070520494,-0.0712510195208704,0.208135286719292,2006
ALCATRAZ,2007,9133.74518481944,13.0966621852186,4,29,Alto Golfo,-0.673237253381578,-0.915260869565217,0,0,9.11973109591979,2.57235740271986,-0.478282560754543,-1.17028862632418,2007
ALCATRAZ,2008,13775.3285301458,9.88985942933856,8,29,Alto Golfo,-0.284994827645459,-0.239608695652173,19,8.1468,9.53063448347506,2.29150993211992,-0.067379173199269,-0.494636452411141,2008
ALCATRAZ,2009,15291.2324529754,10.326711059738,6,29,Alto Golfo,0.0937216507280112,0.0274021739130438,25,10.4906,9.63503490083985,2.33473384518852,0.0370212441655209,-0.227625582845924,2009
ALCATRAZ,2010,14357.952919641,10.9854759557859,8,29,Alto Golfo,-0.552360541052811,-1.08178260869565,14,4.54480000000001,9.57205927809783,2.39657403268911,-0.0259543785765057,-1.33681036545462,2010
ALCATRAZ,2023,5921.36115646029,7.19062558576812,7,29,Alto Golfo,-0.409894787628153,-0.564445652173912,7,0.989799999999999,8.68632162652708,1.97277817570434,-0.91169203014725,-0.81947340893288,2023
ANEGADA,2009,14633.2841662996,12.9941028178947,5,23,Los Cabos,0.532061686913073,0.505793478260878,77,36.9149,9.59105395045554,2.56449562514788,-0.0069597062187956,0.25076572150191,2009
ANEGADA,2010,6765.1691428702,13.8050372597218,5,23,Los Cabos,-0.126897217196516,-0.414478260869557,28,11.1964,8.81954254293389,2.62503354438042,-0.778471113740439,-0.669506017628525,2010
ANEGADA,2011,5651.47581133994,8.37788156420251,5,23,Los Cabos,0.0918151115706078,0.975086956521747,68,30.4166,8.63967199557915,2.12559508590099,-0.958341661095185,0.72005919976278,2011
ANEGADA,2012,4091.66860440157,5.83843953763798,3,23,Los Cabos,-0.128290760215826,0.14198913043479,37,11.141,8.31670813757533,1.76446355867595,-1.281305519099,-0.113038626324178,2012
ANEGADA,2013,5888.95987245017,10.1873845017906,5,23,Los Cabos,-0.512952011717064,-0.579097826086948,0,0,8.68083466893769,2.32115014125516,-0.917178987736648,-0.834125582845916,2013
ANEGADA,2014,11855.7418493968,14.3477702568349,7,23,Los Cabos,1.05967812526924,1.42492391304349,149,127.412,9.38056757346251,2.66359454733351,-0.21744608321182,1.16989615628452,2014
ANEGADA,2015,16495.4761185541,19.2945939925624,5,23,Los Cabos,1.39296579650211,1.4640543478261,237,109.369,9.71084144766285,2.95982495266208,0.112827790988518,1.20902659106713,2015
ANEGADA,2016,5152.47659774005,5.68762847806871,7,23,Los Cabos,0.711190114101114,0.314978260869573,120,72.7031,8.54723277083097,1.73829337357247,-1.05078088584336,0.0599505041106053,2016
ANEGADA,2017,10509.9499791729,11.5292385816883,8,23,Los Cabos,0.274527440337731,0.333565217391313,54,26.5963,9.26007770450409,2.44488629408547,-0.337935952170238,0.0785374606323454,2017
ANEGADA,2018,16703.7066040125,23.6063527506975,5,23,Los Cabos,0.486171275954169,0.241608695652183,79,46.0997,9.72338592611315,3.16151586015955,0.125372269438815,-0.0134190611067847,2018
ANEGADA,2019,9820.13729535015,9.44832213501789,5,23,Los Cabos,0.101184974584306,-0.545782608695644,59,26.2004,9.19219038244733,2.2458371738915,-0.405823274227004,-0.800810365454612,2019
ANEGADA,2021,22249.4559113839,28.7023604717072,8,23,Los Cabos,0.644472645817183,0.884489130434791,74,37.792,10.0100728338745,3.35697936578447,0.412059177200117,0.629461373675824,2021
ANEGADA,2022,23816.2705524083,40.594730819038,5,23,Los Cabos,0.242911001981566,-0.184097826086949,73,36.5132,10.0781242627423,3.70363827540286,0.480110606067955,-0.439125582845917,2022
ARCO_SAN_LUCAS,1999,32320.8416820791,22.856108731563,2,23,Los Cabos,-0.472294477470489,-0.458771739130427,5,1.18729999999999,10.3834675544395,3.1292184221609,0.785453897765143,-0.713799495889395,1999
ARCO_SAN_LUCAS,2009,7517.00982243339,10.3042513106488,1,23,Los Cabos,0.532061686913073,0.505793478260878,77,36.9149,8.92492370787256,2.332556558685,-0.673089948801776,0.25076572150191,2009
