window,n,beta,lo,hi,p_beta_eq_0,p_beta_eq_1
full record,25,0.22313017013723,-0.034424928789506,0.480685269063967,0.0862735529818261,2.29113880162526e-06
post-2008 (no reporting break),17,-0.0474497534327872,-0.314794505589908,0.219894998724334,0.710507284183541,5.05464447975074e-07
"post-2008, all-receipt denominator (comparison)",17,-0.15774975226689,-0.475782575407979,0.160283070874199,0.30713431002366,1.25202224244201e-06
before 2014,14,0.142769203213369,-0.0725309732612137,0.358069379687952,0.174113785711202,1.62515413380731e-06
2014 onward,11,-0.0610873662875673,-0.551444535330102,0.429269802754968,0.784459335037013,0.00085339962029754
