Reef,early,late,log_ratio,pct_change
CARMEN_PUNTA_PERICO,1.25790865431608,0.307408807974694,-1.40902733896037,-75.5619132661242
CARMEN_TINTORERA,1.28555471214584,0.426844559824729,-1.10252566834431,-66.7968577461599
CARMEN_ABISMO,1.54056130624831,0.651868994972678,-0.860058499794221,-57.6862671852925
CARMEN_PUNTA_LOBOS,1.60802773532571,0.751890966608052,-0.760172375702144,-53.2414180371239
ESPIRITU_SANTO_ISLOTES_NORTE,0.986819121490205,0.497650913216765,-0.684587907988943,-49.5701996060577
DANZANTE_PUNTA_NOROESTE,1.05315158103887,0.58273891144703,-0.591803203618892,-44.6671379563239
SAN_JOSE_ANIMAS_NORTE,0.781873195425216,0.465172365093559,-0.519284558685258,-40.5053955276496
DANZANTE_PUNTA_SURESTE,1.19310302058567,0.750937186050119,-0.462990764737167,-37.060155485861
MONSERRAT_GALERAS,0.81427534085828,0.552744678051147,-0.387402373828122,-32.1182098590226
ESPIRITU_SANTO_PAILEBOTE,1.02163995644744,0.77205768615682,-0.280105145355378,-24.4295721516704
ESPIRITU_SANTO_PUNTA_LOBOS,0.840940934551399,0.64028744227231,-0.272604221030136,-23.8605928234577
ESPIRITU_SANTO_BALLENA,0.845922124537777,0.66783818631515,-0.236381395857861,-21.0520487710302
CORONADO_PUNTA_BLANCA,1.04262980005963,0.832152479335819,-0.225485761910833,-20.1871575809338
ESPIRITU_SANTO_ISLOTES_ESTE,0.612960355106431,0.498235408333964,-0.207227587451104,-18.7165362028262
CORONADO_MONO,1.07484429227709,0.909573518741221,-0.166955256746192,-15.3762526091789
ESPIRITU_SANTO_PARTIDA_NORESTE,0.836420250531165,0.724810100110304,-0.143221489137868,-13.3437886457177
MORROS_CABO_PULMO,2.82054855480247,2.51460856251518,-0.114814238721161,-10.8468259398112
DANZANTE_BIZNAGA,0.682824128384513,0.613932773120512,-0.106351895586415,-10.0891799806475
DANZANTE_PUNTA_ESTE,0.848193673615876,0.792812667062232,-0.0675220378985763,-6.52928785916934
MONSERRAT_PUNTA_SURESTE,0.633533835287852,0.609659280858344,-0.0384131632714227,-3.7684734578794
MONSERRAT_REINITA,0.837711443661994,0.81414633688675,-0.0285335769881054,-2.81303388577715
CORONADO_LAJAS,0.744408109992991,0.762040943758226,0.0234108668296993,2.36870522076949
ESPERANZA,1.3406491156542,1.66936567236779,0.219289806027611,24.5192088575078
BAJO_CABO_PULMO,1.50073230196059,2.17732699114103,0.372144783326516,45.0843023966715
ISLOTE_CABO_PULMO,0.639768942692022,1.12372648252943,0.56329857377154,75.645675734275
SAN_JOSE_ANIMAS_PINACULOS,1.1208162937796,2.18740129994827,0.668656964639582,95.1614472494822
