scenario,Year,idx,idx_lo,idx_hi
Status quo,2025,75.1117675387515,75.1117675387515,75.1117675387515
Status quo,2026,74.1791531979793,73.6442403078132,74.7179514130379
Status quo,2027,73.2581185275718,72.2053854972442,74.3262000921607
Status quo,2028,72.3485197502357,70.79464290777,73.9365027502069
Status quo,2029,71.4502148738673,69.4114632852415,73.5488486180248
Status quo,2030,70.5630636693874,68.0553081067894,73.1632269829262
Status quo,2031,69.6869276488505,66.7256493711582,72.77962718839
Status quo,2032,68.8216700438268,65.4219693931348,72.3980386337682
Status quo,2033,67.9671557840519,64.1437606019957,72.0184507739924
Status quo,2034,67.1232514763414,62.8905253438898,71.6408531192831
Status quo,2035,66.2898253837681,61.6617756880845,71.2652352348592
Status quo,2036,65.4667474050973,60.4570332369954,70.8915867406499
Status quo,2037,64.6538890544773,59.275828939929,70.5198973110078
Status quo,2038,63.8511234413822,58.1177029104635,70.1501566744237
Status quo,2039,63.0583252508041,56.9822042473988,69.7823546132425
Status quo,2040,62.2753707236904,55.868890859203,69.4164809633809
Status quo,2041,61.5021376376249,54.7773292918906,69.0525256140469
Status quo,2042,60.7385052877484,53.7070945602629,68.6904785074596
Status quo,2043,59.9843544679159,52.6577699824449,68.3303296385722
Status quo,2044,59.239567452088,51.6289470176565,67.9720690547948
Status quo,2045,58.5040279759539,50.6202251071517,67.6156868557195
Status quo,2046,57.7776212187815,49.6312115182671,67.2611731928472
Status quo,2047,57.0602337854937,48.6615211915159,66.9085182693149
Status quo,2048,56.3517536889667,47.7107765906704,66.5577123396254
Status quo,2049,55.6520703325488,46.7786075557732,66.2087457093777
Status quo,2050,54.9610744927955,45.8646511590201,65.8616087349992
Status quo,2051,54.2786583024191,44.9685515634592,65.5162918234794
Status quo,2052,53.6047152334507,44.0899598844498,65.1727854321044
Status quo,2053,52.9391400806102,43.2285340538299,64.8310800681933
Status quo,2054,52.2818289448836,42.383938686735,64.4911662888364
Status quo,2055,51.6326792173041,41.5558449510216,64.1530347006333
Status quo,2056,50.991589562934,40.7439304392401,63.8166759594343
Status quo,2057,50.3584599050461,39.9478790431098,63.4820807700814
Status quo,2058,49.7331914095016,39.1673808304463,63.1492398861519
Status quo,2059,49.115686469321,38.4021319244935,62.8181441097027
Status quo,2060,48.5058486894482,37.6518343856131,62.488784291016
Fishing plus continued warming,2025,75.1117675387515,75.1117675387515,75.1117675387515
Fishing plus continued warming,2026,73.7810753657575,73.249033052493,74.3169821535593
Fishing plus continued warming,2027,72.4739579496532,71.4324934552645,73.5306066864027
Fishing plus continued warming,2028,71.1899976362477,69.6610031367881,72.7525521488295
Fishing plus continued warming,2029,69.9287841705795,67.933444897351,71.982730494007
Fishing plus continued warming,2030,68.68991456583,66.248729243238,71.2210546067588
Fishing plus continued warming,2031,67.4729929745599,64.6057936996361,70.467438293706
Fishing plus continued warming,2032,66.2776305622269,63.0036021405795,69.7217962735142
Fishing plus continued warming,2033,65.1034453829441,61.441144135511,68.9840441672421
Fishing plus continued warming,2034,63.9500622574395,59.917434312049,68.2540984887931
Fishing plus continued warming,2035,62.8171126531775,58.4315117345568,67.531876635468
Fishing plus continued warming,2036,61.7042345666042,56.9824392981237,66.8172968786172
Fishing plus continued warming,2037,60.6110724074792,55.5693031375749,66.1102783543923
Fishing plus continued warming,2038,59.5372768852557,54.1912120511375,65.410741054595
Fishing plus continued warming,2039,58.4825048974749,52.8472969383994,64.7186058176235
Fishing plus continued warming,2040,57.4464194201361,51.5367102522066,64.033794319514
Fishing plus continued warming,2041,56.4286894000103,50.2586254641531,63.3562290650777
Fishing plus continued warming,2042,55.4289896488606,49.0122365433262,62.685833379131
Fishing plus continued warming,2043,54.4470007395377,47.7967574479793,62.0225313978187
Fishing plus continued warming,2044,53.4824089039146,46.61142162981,61.366248060029
Fishing plus continued warming,2045,52.5349059326315,45.4554815505331,60.7169090988998
Fishing plus continued warming,2046,51.6041890766147,44.3282082104405,60.0744410334139
Fishing plus continued warming,2047,50.6899609503425,43.228890688655,59.438771160084
Fishing plus continued warming,2048,49.7919294368225,42.1568356947832,58.8098275447251
Fishing plus continued warming,2049,48.9098075942542,41.111367131689,58.1875390143146
Fishing plus continued warming,2050,48.0433135643443,40.091825669109,57.571835148938
Fishing plus continued warming,2051,47.1921704822462,39.0975683278424,56.9626462738198
Fishing plus continued warming,2052,46.3561063880958,38.1279680742531,56.3599034514392
Fishing plus continued warming,2053,45.5348541401137,37.1824134248271,55.7635384737287
Fishing plus continued warming,2054,44.7281513292471,36.2603080605376,55.1734838543555
Fishing plus continued warming,2055,43.9357401953245,35.3610704507733,54.5896728210849
Fishing plus continued warming,2056,43.1573675446949,34.4841334865928,54.0120393082237
Fishing plus continued warming,2057,42.3927846693269,33.6289441230742,53.4405179491443
Fishing plus continued warming,2058,41.6417472673408,32.7949630305352,52.8750440688876
Fishing plus continued warming,2059,40.9040153649481,31.9816642544009,52.3155536768439
Fishing plus continued warming,2060,40.1793532397748,31.1885348835087,51.7619834595122
