band,mean_l_b_adj,sd,n_transects,n_years,rel_to_normal_pct
cool (< -0.25),0.110610861649328,0.818798921836516,734,5,10.6
near normal (-0.25 to 0.25),0.00999670505967929,0.981092493279952,2617,13,0
warm (0.25 to 0.6),0.0221656723516805,0.840793186010144,596,4,1.2
extreme (> 0.6),-0.0972262018656368,1.0019975873631,1240,5,-10.2
