group,Year,mean,sem,count,ci95
Pelagic (planktivory),1998,0.802070775130532,0.130703003187065,150,0.256177886246647
Pelagic (planktivory),1999,0.4151544664827,0.125559583560964,147,0.24609678377949
Pelagic (planktivory),2000,-0.298059008795595,0.150567292032347,131,0.2951118923834
Pelagic (planktivory),2001,0.220852444167135,0.127740283039881,128,0.250370954758168
Pelagic (planktivory),2002,0.636378970435808,0.118942422302098,119,0.233127147712112
Pelagic (planktivory),2003,0.465070035048761,0.121856569489489,102,0.238838876199399
Pelagic (planktivory),2004,0.986779120162632,0.0891182815684857,122,0.174671831874232
Pelagic (planktivory),2005,0.771567458954765,0.102555081458278,101,0.201007959658225
Pelagic (planktivory),2006,-0.0241158496197007,0.142296059148618,113,0.278900275931291
Pelagic (planktivory),2007,0.258739834531826,0.146250373201287,123,0.286650731474523
Pelagic (planktivory),2008,0.599262920501492,0.153633324099897,112,0.301121315235797
Pelagic (planktivory),2009,-0.0848446021732333,0.152482486773293,130,0.298865674075654
Pelagic (planktivory),2010,-0.300626694944128,0.130297837011834,149,0.255383760543195
Pelagic (planktivory),2011,-0.758054847723267,0.143418294580473,130,0.281099857377726
Pelagic (planktivory),2012,-0.437265684240074,0.13476935344039,136,0.264147932743165
Pelagic (planktivory),2013,-0.375741502320752,0.126521764335277,145,0.247982658097144
Pelagic (planktivory),2014,-0.215089634591878,0.102026217984048,142,0.199971387248734
Pelagic (planktivory),2015,-0.167315993779654,0.107700084484091,147,0.211092165588817
Pelagic (planktivory),2016,-0.121562486654192,0.152991029299392,162,0.299862417426809
Pelagic (planktivory),2017,-0.636765872602984,0.130253346317032,148,0.255296558781383
Pelagic (planktivory),2018,-0.413122651550442,0.157572272439088,157,0.308841653980612
Pelagic (planktivory),2019,0.337723901544566,0.110982996533633,149,0.21752667320592
Pelagic (planktivory),2021,-0.252534668619307,0.280899968370887,55,0.550563938006939
Pelagic (planktivory),2022,-0.978541958927757,0.18986627962863,120,0.372137908072115
Pelagic (planktivory),2023,-0.625738003380799,0.109128465810488,130,0.213891792988556
Pelagic (planktivory),2024,0.531336450864416,0.146356988250323,34,0.286859696970633
Pelagic (planktivory),2025,0.728340970933395,0.221509801542916,80,0.434159211024116
Autochthonous (reef-based),1998,0.0929160533851143,0.0630287389875653,150,0.123536328415628
Autochthonous (reef-based),1999,-0.171958444459266,0.0806091824718771,147,0.157993997644879
Autochthonous (reef-based),2000,0.0526949100428334,0.0926737950969374,131,0.181640638389997
Autochthonous (reef-based),2001,0.345398403334809,0.0573198173881967,128,0.112346842080866
Autochthonous (reef-based),2002,0.290600436235927,0.0643587659877148,119,0.126143181335921
Autochthonous (reef-based),2003,0.120164143872705,0.0676738985646488,102,0.132640841186712
Autochthonous (reef-based),2004,0.210570232831208,0.0730684345562762,122,0.143214131730301
Autochthonous (reef-based),2005,-0.129397195345225,0.0964181408068263,101,0.18897955598138
Autochthonous (reef-based),2006,0.183216116665668,0.0644586503530384,113,0.126338954691955
Autochthonous (reef-based),2007,0.148479049511275,0.0655192780840658,123,0.128417785044769
Autochthonous (reef-based),2008,0.282948867504835,0.0677005298006422,112,0.132693038409259
Autochthonous (reef-based),2009,0.28934512048419,0.0599230775193783,130,0.117449231937982
Autochthonous (reef-based),2010,0.190048014498419,0.0645978456787802,149,0.126611777530409
Autochthonous (reef-based),2011,-0.466707048707966,0.0777055960226737,130,0.15230296820444
Autochthonous (reef-based),2012,-0.377084783060044,0.0767789935441918,136,0.150486827346616
Autochthonous (reef-based),2013,-0.296763283459498,0.0902054168073934,145,0.176802616942491
Autochthonous (reef-based),2014,-0.849743792139234,0.0757706472142906,142,0.14851046854001
Autochthonous (reef-based),2015,-0.17861520653097,0.0794039871171661,147,0.155631814749646
Autochthonous (reef-based),2016,0.0421040951174351,0.0800551689593122,162,0.156908131160252
Autochthonous (reef-based),2017,-0.253034113192262,0.0864630370058304,148,0.169467552531428
Autochthonous (reef-based),2018,0.260643642284535,0.0743256615825945,157,0.145678296701885
Autochthonous (reef-based),2019,0.256914798919299,0.0879060032848329,149,0.172295766438273
Autochthonous (reef-based),2021,0.267611795570508,0.159868445614643,55,0.3133421534047
Autochthonous (reef-based),2022,0.36179760304623,0.0976603082765495,120,0.191414204222037
Autochthonous (reef-based),2023,-0.0220728108191391,0.0767534764574884,130,0.150436813856677
Autochthonous (reef-based),2024,0.342346236155596,0.163546797205389,34,0.320551722522562
Autochthonous (reef-based),2025,-0.61740614424379,0.293658449020312,80,0.575570560079812
