quantity,value
kmax_elasticity_pct_per_C,2.8
prod_trend_conservative,-11.7
prod_trend_tracking,-7.4
prod_trend_extreme,-8.7
turn_trend_conservative,13.3
turn_trend_tracking,18.9
turn_trend_extreme,17.2
phi_conservative,0.189
phi_tracking,0.198
phi_extreme,0.196
phi_lo_tracking,0.124
phi_hi_tracking,0.272
wedge_warmest_year_pct,19.1
wedge_coolest_year_pct,-10.2
wedge_anom_corr,0.77
prod_trend_window30,-9.3
prod_trend_window90,-8.6
prod_trend_window180,-14.2
prod_trend_window365,-7.4
