clave_especie,nombre_cientifico
8390221H,SPHYRNA ZYGAENA
8390924H,SPHYRNA ZYGAENA
8391427H,SPHYRNA ZYGAENA
8391625H,SPHYRNA ZYGAENA
8391724H,SPHYRNA ZYGAENA
8391724S,SPHYRNA ZYGAENA
8392623H,SPHYRNA ZYGAENA
8401424H,SPHYRNA LEWINI
8411423H,NEGAPRION BREVIROSTRIS
8420929H,CEPHALOSCYLLIUM VENTRIOSUM
8421422H,CEPHALOSCYLLIUM VENTRIOSUM
8421620H,CEPHALOSCYLLIUM VENTRIOSUM
8422628H,CEPHALOSCYLLIUM VENTRIOSUM
8431421H,N/D
8441420H,CARCHARHINUS LIMBATUS
8450926H,CARCHARODON CARCHARIAS
8451429H,CARCHARODON CARCHARIAS
8451627H,CARCHARODON CARCHARIAS
8461428H,CARCHARHINUS LIMBATUS
8471427H,CARCHARHINUS POROSUS
8480923H,CARCHARHINUS LIMBATUS
8481426H,CARCHARHINUS LIMBATUS
8481624H,CARCHARHINUS LIMBATUS
8491425H,N/D
8501421H,CARCHARHINUS LEUCAS
8510224H,ALOPIAS PELAGICUS
8510927H,ALOPIAS PELAGICUS
8511420H,ALOPIAS PELAGICUS
8511628H,ALOPIAS PELAGICUS
8521429H,N/D
8531428H,SPHYRNA MOKARRAN
8541427H,CARCHARHINUS OBSCURUS
8551426H,GALEOCERDO CUVIER
8560922H,CARCHARHINUS LEUCAS
8561425H,CARCHARHINUS LEUCAS
8561623H,CARCHARHINUS LEUCAS
8570921H,GALEOCERDO CUVIER
8571424H,GALEOCERDO CUVIER
8571622H,GALEOCERDO CUVIER
8580920H,SQUATINA CALIFORNICA
8581423H,SQUATINA CALIFORNICA
8581621H,SQUATINA CALIFORNICA
8581720H,SQUATINA CALIFORNICA
8590226H,ALOPIAS PELAGICUS
8590929H,ALOPIAS PELAGICUS
8591422H,ALOPIAS PELAGICUS
8591620H,ALOPIAS PELAGICUS
8600223H,ALOPIAS VULPINUS
8600926H,ALOPIAS VULPINUS
8601429H,ALOPIAS VULPINUS
8601627H,ALOPIAS VULPINUS
8610925H,MUSTELUS CALIFORNICUS
8611428H,MUSTELUS CALIFORNICUS
8611626H,MUSTELUS CALIFORNICUS
8611725H,MUSTELUS CALIFORNICUS
8620924H,CARCHARHINUS FALCIFORMIS
8621427H,CARCHARHINUS FALCIFORMIS
8621625H,CARCHARHINUS FALCIFORMIS
8641623H,CARCHARHINUS POROSUS
8650921H,CARCHARHINUS BREVIPINNA
8651424H,CARCHARHINUS BREVIPINNA
8651622H,CARCHARHINUS BREVIPINNA
8651721H,CARCHARHINUS BREVIPINNA
8660920H,CARCHARHINUS OBSCURUS
8661423H,CARCHARHINUS OBSCURUS
8661621H,CARCHARHINUS OBSCURUS
8670929H,CARCHARHINUS PLUMBEUS
8671422H,CARCHARHINUS PLUMBEUS
8671620H,CARCHARHINUS PLUMBEUS
8671729H,CARCHARHINUS PLUMBEUS
8680928H,CARCHARHINUS ACRONOTUS
8681421H,CARCHARHINUS ACRONOTUS
8681629H,CARCHARHINUS ACRONOTUS
8691412H,N/D
8710923H,GALEOCERDO CUVIER
8711426H,GALEOCERDO CUVIER
8711624H,GALEOCERDO CUVIER
8711723H,GALEOCERDO CUVIER
8761413H,N/D
8790925H,NEGAPRION BREVIROSTIS
8791428H,NEGAPRION BREVIROSTIS
8791626H,NEGAPRION BREVIROSTIS
8810228H,PRIONACE GLAUCA
8810228S,PRIONACE GLAUCA
8810921H,PRIONACE GLAUCA
8811424H,PRIONACE GLAUCA
8811622H,PRIONACE GLAUCA
8811721H,PRIONACE GLAUCA
8840928H,N/D
8841421H,N/D
8841629H,N/D
8841728H,N/D
8850927H,CARCHARHINUS ACRONOTUS
8851420H,CARCHARHINUS ACRONOTUS
8851628H,CARCHARHINUS ACRONOTUS
8860926H,CARCHARHINUS LIMBATUS
8861429H,CARCHARHINUS LIMBATUS
8861627H,CARCHARHINUS LIMBATUS
8861726H,CARCHARHINUS LIMBATUS
8871428H,CYNOSCION MACDONALDI
8871626H,CYNOSCION MACDONALDI
8881427H,CYNOSCION MACDONALDI
8881427T,N/D
8890220H,CARCHARHINUS FALCIFORMIS
8890923H,CARCHARHINUS FALCIFORMIS
8891426H,CARCHARHINUS FALCIFORMIS
8891624H,CARCHARHINUS FALCIFORMIS
8900920H,CARCHARHINUS LONGIMANUS
8901423H,CARCHARHINUS LONGIMANUS
8901621H,CARCHARHINUS LONGIMANUS
8901720H,CARCHARHINUS LONGIMANUS
8910929H,N/D
8911422H,N/D
8911620H,N/D
8921413H,CYNOSCION SPP
8921421H,CYNOSCION SPP
8921611H,CYNOSCION SPP
8921629H,CYNOSCION SPP
8940926H,CARCHARHINUS LEUCAS
8941429H,CARCHARHINUS LEUCAS
8941627H,CARCHARHINUS LEUCAS
8951410H,ONCORHYNCHUS MYKISS
8971418H,CYNOSCION ARENARIUS
8971427H,CYNOSCION ARENARIUS
8971616H,CYNOSCION ARENARIUS
8981417H,N/D
8990921H,N/D
8991424H,N/D
8991622H,N/D
8991721H,N/D
9001421H,BELLATOR MILITARIS
9010927H,CARCHARHINUS ALTIMUS
9011420H,CARCHARHINUS ALTIMUS
9011628H,CARCHARHINUS ALTIMUS
9021429H,CARANX HIPPOS
9031428H,BATHYSTOMA RIMATOR
9051426H,ACTINIA EQUINA
9061425H,MACROBRACHIUM MICHOACANUS
9061623H,MACROBRACHIUM MICHOACANUS
9061722H,MACROBRACHIUM MICHOACANUS
9071424H,N/D
9071622H,N/D
9091422H,PHOLAS CHILOENSIS
9101429H,ATRINA MAURA
9111428H,PINNA RUGOSA
9121427H,UPENEUS PARVUS
9121625H,UPENEUS PARVUS
9131426H,HOLOCENTRUS ASCENSIONIS
9141425H,ACANTHURUS SPP
9171422H,N/D
9181421H,ACANTHURUS XANTHOPTERUS
9191420H,EQUETUS LANCEOLATUS
9201427H,SPHOEROIDES ANNULATUS
9211426H,XENICHTHYS XANTI
9251422H,ALPHESTES IMMACULATUS
9261421H,DORMITATOR MACULATUS
9281429H,GILLICHTHYS MIRABILIS
9301425H,N/D
9311424H,MOLA MOLA
9321423H,BRANCHIOSTOMA CALIFORNIENSE
9331414D,MACROBRACHIUM AMERICANUM
9331414H,N/D
9341421H,LUTJANUS NOVEMFASCIATUS
9350927H,MUSTELUS LUNULATUS
9351420H,MUSTELUS LUNULATUS
9351628H,MUSTELUS LUNULATUS
9360223H,ISURUS OXYRINCHUS
9360926H,ISURUS OXYRINCHUS
9361429H,FISTULARIA COMMERSONII
9361627H,ISURUS OXYRINCHUS
9370922H,GALEORHINUS GALEUS
9371426H,GALEORHINUS GALEUS
9371628H,GALEORHINUS GALEUS
9381427H,SYNGNATHUS AFFINE
9390220H,N/D
9411422H,OXYPORHAMPHUS MICROPTERUS
9421421H,ALECTIS CRINITUS
9431412H,N/D
9431438H,N/D
9451428H,BENTHODESMUS TENUIS
9471426H,N/D
9480526H,N/D
9481425H,N/D
9491424H,LUTJANUS ANALIS
9500927H,LACHNOLAIMUS MAXIMUS
9501420H,LACHNOLAIMUS MAXIMUS
9511429H,N/D
9531427H,EPINEPHELUS NIPHOBLES
9541426H,N/D
9551425H,N/D
9561424H,POMADASYS PANAMENSIS
9571423H,MICROLEPIDOTUS BREVIPINNIS
9581422H,SARDA ORIENTALIS/XENICHTHYS XANTI
9591421H,N/D
9601626H,N/D
9621426H,BROTULA BARBATA
9631425H,EPINEPHELUS FLAVOLIMBATUS
9631623H,EPINEPHELUS FLAVOLIMBATUS
9641424H,TRIAKIS SEMIFASCIATA
9651423H,TRIAKIS SEMIFASCIATA
9661422H,DORMITATOR MACULATUS
9671421H,SPRATTUS SPRATTUS
9681420H,N/D
9701426H,N/D
9711425H,N/D
9721424H,LUTJANUS VIRIDIS
9721622H,LUTJANUS VIRIDIS
9731423H,SPHYRNA MEDIA
9740927H,CARCHARHINUS OBSCURUS
9741422H,CARCHARHINUS OBSCURUS
9741620H,CARCHARHINUS OBSCURUS
9761412H,ALGANSEA LACUSTRIS
9771429H,MACTRA ISABELLEANA
9781428H,N/D
9791021H,NODIPECTEN SUBNODOSUS
9801424H,CRUCIBULUM SCUTELLATUM
9811421H,STOMOLOPHUS MELEAGRIS
9989914H,N/D
9989922H,N/D
9990227H,N/D
9990524H,N/D
9990920H,N/D
9991415H,N/D
9991423H,N/D
9991621D,N/D
9991621H,N/D
9991720H,N/D
9991720S,N/D
9992124H,N/D
9992629H,N/D
9999999H,N/D
