Reef,lat,lon,cell_lat,cell_lon,dist_km,cell
BALANDRA_CARDON,24.318203,-110.338169,24.375,249.625,7.33538895103893,24.375 249.625
CARMEN_ABISMO,25.8419865,-111.2329735,25.875,248.875,11.4105988005986,25.875 248.875
HERRADURA,28.947622,-113.479923,29.125,246.625,22.2051389309209,29.125 246.625
CARMEN_PUNTA_LOBOS,26.068839,-111.070127,26.125,248.875,8.30802047700319,26.125 248.875
CORONADO_PUNTA_BLANCA,26.137812,-111.265291,26.125,248.625,11.0444375897462,26.125 248.625
DANZANTE_PUNTA_SURESTE,25.763561,-111.243521,25.875,248.875,17.1547697477579,25.875 248.875
DANZANTE_BIZNAGA,25.815202,-111.260062,25.875,248.875,15.0630420985832,25.875 248.875
SAN_JOSE_ANIMAS_NORTE,25.089485,-110.566779,25.125,249.375,7.06828400742887,25.125 249.375
MONSERRAT_PUNTA_SURESTE,25.675881,-111.011271,25.625,248.875,12.7265850423455,25.625 248.875
ESPIRITU_SANTO_ISLOTES_ESTE,24.598899,-110.399831,24.625,249.625,3.83726695341475,24.625 249.625
DANZANTE_PUNTA_ESTE,25.788956,-111.242819,25.875,248.875,15.1850603401415,25.875 248.875
PUNTA_GORDA,24.169829,-110.017467,24.125,250.125,15.2907306273905,24.125 250.125
DANZANTE_PUNTA_NOROESTE,25.800718,-111.257608,25.875,248.875,15.6317074845804,25.875 248.875
LLAVE,28.998567,-113.521292,29.125,246.625,19.9955788776799,29.125 246.625
PARDITO_FARO_LOBERA,24.842937,-110.605687,24.875,249.375,4.06297056880816,24.875 249.375
SAN_FRANCISCO_PUNTA_SUR,24.813921,-110.564321,24.875,249.375,9.14412250236607,24.875 249.375
PUNTA_RESBALADILLA,24.195521,-110.060151,24.125,250.125,20.3554784818612,24.125 250.125
CARMEN_TINTORERA,26.064886,-111.131847,26.125,248.875,6.71925091748703,26.125 248.875
CORONADO_LAJAS,26.126188,-111.258743,26.125,248.625,11.6071815511464,26.125 248.625
ESPIRITU_SANTO_BALLENA,24.480815,-110.4046775,24.375,249.625,12.1436567686108,24.375 249.625
PULPITO,26.516189,-111.442401,26.625,248.625,13.8319498320797,26.625 248.625
CORONADO_MONO,26.135304,-111.279106,26.125,248.625,9.64145206176028,26.125 248.625
TORTUGA_PUNTA_OESTE,27.450869,-111.902138,27.375,248.125,8.85133093756071,27.375 248.125
ESPIRITU_SANTO_PUNTA_LOBOS,24.475421,-110.289305,24.375,249.625,14.1407186290346,24.375 249.625
